,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
8904,Bodily Force,Male,Black,Fled on Foot,Loring Park,Suspicious Person ,FLEEFT
8905,Bodily Force,Female,Other / Mixed Race,Tensed,Whittier,Check the Welfare ,FORCE
8906,Bodily Force,Male,White,Commission of Crime,Downtown West,Suspicious Person ,PUBURN
8907,Bodily Force,Male,Black,Unspecified,Jordan,Unknown Trouble ,DOMEN
8908,Chemical Irritant,Female,Black,Verbal Non-Compliance,Downtown West,Fight ,FORCE
8909,Bodily Force,Male,Black,Tensed,Downtown West,Traffic Law Enforcement ,WT
8910,Bodily Force,Male,White,Verbal Non-Compliance,North Loop,Emotionally Disturb Person ,CIC
8911,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,OBSTRU
8912,Bodily Force,Male,Native American,Commission of Crime,East Phillips,Disturbance ,CURFEW
8913,Chemical Irritant,Male,Other / Mixed Race,Tensed,Phillips West,Suspicious Person ,TRSPAS
8914,Police K9 Bite,Male,Black,Fled on Foot,Hawthorne,Audible Business Alarm ,BURGTL
8915,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
8916,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Disturbance ,DISCON
8917,Gun Point Display,Male,Black,Fled on Foot,Folwell,Chase on Foot ,POSDPA
8918,Bodily Force,Male,Black,Commission of Crime,Logan Park,Disturbance ,DISCON
8919,Taser,Male,White,Unspecified,Ventura Village,Emotionally Disturb Person ,CIC
8920,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Vehicle ,TRSPAS
8921,Chemical Irritant,Male,Black,Assaulting Police Horse,Downtown West,Suspicious Person ,ASLTMP
8922,Taser,Male,White,Commission of Crime,St. Anthony West,Assault in Progress ,RXFRD
8923,Bodily Force,Male,White,Tensed,St. Anthony West,Suspicious Person ,OBSTRU
8924,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Unknown Trouble ,ASLT4
8925,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Burglary Biz - In Progress ,OBSTRU
8926,Bodily Force,Male,Black,Fled on Foot,Near - North,Domestic Abuse-In Progress ,OBSTRU
8927,Bodily Force,Male,White,Assaulted Officer,West Calhoun,Domestic Abuse-In Progress ,ASLT4
8928,Bodily Force,Male,White,Assaulted Officer,Downtown West,Suspicious Person ,ASLT4
8929,Taser,Female,Black,Unspecified,Willard - Hay,Person with a Gun ,OD
8930,Chemical Irritant,Male,Other / Mixed Race,Tensed,Downtown West,Suspicious Person ,OBSTRU
8931,Bodily Force,Male,Black,Unspecified,Holland,Traffic Law Enforcement ,FLEEFT
8932,Bodily Force,Male,White,Verbal Non-Compliance,Prospect Park - East River Road,Disturbance ,FORCE
8933,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON
8934,Bodily Force,Female,Native American,Commission of Crime,Powderhorn Park,Suspicious Person ,PROSTU
8935,Chemical Irritant,Male,White,Commission of Crime,Marcy Holmes,Suspicious Person ,DISCON
8936,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FORCE
8937,Taser,Male,Other / Mixed Race,Verbal Non-Compliance,Downtown West,Fight ,NARC
8938,Taser,Male,Black,Commission of Crime,Downtown West,Disturbance ,LICVIO
8939,Taser,not recorded,not recorded,Unspecified,Downtown West,Suspicious Person ,FORCE
8940,Bodily Force,Male,Black,Tensed,Audubon Park,Traffic Law Enforcement ,OBSTRU
8941,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Suspicious Person ,ASLT4
8942,Bodily Force,Male,White,Tensed,Whittier,Domestic ,OBSTRU
8943,Chemical Irritant,Unknown,Unknown,Commission of Crime,Downtown West,Sound of Shots Fired ,ASLT2
8944,Bodily Force,Male,White,Verbal Non-Compliance,Powderhorn Park,Unwanted Person ,DASLT5
8945,Bodily Force,Male,Black,Verbal Non-Compliance,Powderhorn Park,Traffic Law Enforcement ,OBSTRU
8946,Bodily Force,Male,Black,Tensed,Windom Park,Suspicious Person ,DAMPRP
8947,Bodily Force,Male,White,Tensed,Como,Loud Party ,PARTY
8948,Bodily Force,Male,White,Unspecified,Windom Park,Suspicious Vehicle ,NARC
8949,Bodily Force,Male,Black,Fled on Foot,Near - North,Suspicious Vehicle ,MJINMV
8950,Bodily Force,Male,Black,Commission of Crime,Ventura Village,Domestic Abuse-In Progress ,DASTR
8951,Bodily Force,Male,White,Tensed,Downtown West,Disturbance ,DISCON
8952,Gun Point Display,Male,Black,Commission of Crime,Jordan,Sound of Shots Fired ,NARC
8953,Bodily Force,Male,Black,Tensed,Victory,Disturbance ,DISCON
8954,Bodily Force,Female,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU
8955,Bodily Force,Male,White,Commission of Crime,Lowry Hill East,Narcotics ,NARC
8956,Bodily Force,Male,Black,Assaulted Officer,Phillips West,Unwanted Person ,ASLT4
8957,Bodily Force,Male,White,Fled on Foot,Downtown West,Assault in Progress ,ROBPER
8958,Bodily Force,Female,White,Verbal Non-Compliance,Whittier,Suspicious Person ,CBYMIN
8959,Chemical Irritant,Male,Black,Unspecified,Downtown West,Miscellaneous ,FORCE
8960,Taser,Male,Black,Fled on Foot,Cleveland,Burglary Dwlng In Progress ,BURGD
8961,Gun Point Display,Male,White,Assaulted Officer,Seward,Neighbor Trouble ,ROBPAG
8962,Gun Point Display,Male,Black,Tensed,Central,Traffic Law Enforcement ,NARC
8963,Bodily Force,Male,Black,Unspecified,Ventura Village,Officer Needs Help ,NARC
8964,Bodily Force,Male,White,Commission of Crime,Powderhorn Park,Burglary Dwlng In Progress ,BURGD
8965,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,WEAP
8966,Chemical Irritant,Male,Black,Fled on Foot,Near - North,Narcotics ,NARC
8967,Bodily Force,Male,Black,Unspecified,Ventura Village,Suspicious Vehicle ,FLEE
8968,Bodily Force,Male,Black,Assaulted Officer,Jordan,Emotionally Disturb Person ,ASLT4
8969,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,LOITER
8970,Bodily Force,Male,White,Assaulted Officer,Cedar Riverside,Attempted Suicide ,FORCE
8971,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON
8972,Bodily Force,Male,Black,Tensed,Willard - Hay,Unknown Trouble ,DASLT2
8973,Gun Point Display,Male,Black,Commission of Crime,Elliot Park,Person with a Gun ,NARC
8974,Chemical Irritant,Male,White,Commission of Crime,Downtown West,Fight ,DISCON
8975,Taser,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,FLEEFT
8976,Chemical Irritant,Female,White,Verbal Non-Compliance,Tangletown,Unknown Trouble ,AOA
8977,Bodily Force,Male,White,Assaulted Officer,Elliot Park,Unknown Trouble ,CIC
8978,Chemical Irritant,Male,Black,Tensed,McKinley,Domestic Abuse Report Only ,OBSTRU
8979,Police K9 Bite,Male,Native American,Unspecified,Morris Park,Burglary Dwlng In Progress ,BURGD
8980,Bodily Force,Male,Black,Fled on Foot,Jordan,Suspicious Person ,FLEEFT
8981,Bodily Force,Male,Black,Tensed,Downtown West,On Site ,DISCON
8982,Bodily Force,Female,White,Tensed,Downtown West,Suspicious Person ,CONSME
8983,Bodily Force,Male,Black,Tensed,Near - North,Domestic Abuse-In Progress ,DASTR
8984,Bodily Force,Male,Other / Mixed Race,Tensed,Victory,Fight ,OBSTRU
8985,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,RIOT
8986,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FORCE
8987,Bodily Force,Male,Black,Assaulted Officer,Folwell,Suspicious Person ,ASLT4
8988,Bodily Force,Male,Black,Commission of Crime,Near - North,Suspicious Person ,FALSNM
8989,Bodily Force,Female,Black,Tensed,Jordan,ShotSpotter Activation ,WEAP
8990,Chemical Irritant,Male,Black,Fled on Foot,Holland,Chase on Foot ,FLEEFT
8991,Bodily Force,Male,White,Fled on Foot,Como,Auto Theft in Progress ,AUTOTH
8992,Taser,Female,Native American,Tensed,Ventura Village,Traffic Law Enforcement ,OBSTRU
8993,Bodily Force,Female,Black,Unspecified,Shingle Creek,Fight ,DISCON
8994,Bodily Force,Male,Black,Commission of Crime,Willard - Hay,Sound of Shots Fired ,OBSTRU
8995,Bodily Force,Male,Black,Fled in Vehicle,Midtown Phillips,Motor Vehicle Chase ,FLEE
8996,Chemical Irritant,Female,White,Verbal Non-Compliance,Whittier,Suspicious Person ,CBYMIN
8997,Bodily Force,Male,Black,Commission of Crime,Downtown West,Person with a Gun ,OBSTRU
8998,Bodily Force,Male,Native American,Commission of Crime,Sumner - Glenwood,Person with a Weapon ,FORCE
8999,Bodily Force,Male,Black,Assaulted Officer,Ventura Village,Down Outside-One ,ASLT4
9000,Chemical Irritant,Male,Native American,Commission of Crime,Loring Park,Fight ,FORCE
9001,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,DISCON
9002,Bodily Force,Male,White,Commission of Crime,Powderhorn Park,Burglary Dwlng In Progress ,BURGD
9003,Bodily Force,Male,Black,Tensed,Near - North,Domestic Abuse-In Progress ,OBSTRU
9004,Chemical Irritant,Female,White,Assaulted Officer,Phillips West,Traffic Law Enforcement ,OBSTRU
9005,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FORCE
9006,Taser,Male,Black,Fled on Foot,Downtown West,Assault in Progress ,ASLT5
9007,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Suspicious Person ,OBSTRU
9008,Bodily Force,Male,Black,Tensed,McKinley,Unknown Trouble ,DASLT2
9009,Bodily Force,Male,Black,Tensed,St. Anthony West,Fight ,OBSTRU
9010,Taser,Male,Black,Fled on Foot,Loring Park,Suspicious Person ,FLEEFT
9011,Improvised Weapon,Male,Black,Fled in Vehicle,Hawthorne,Recover Vehicle ,FLEE
9012,Taser,Male,Black,Verbal Non-Compliance,Victory,Suspicious Person ,CIC
9013,Bodily Force,Male,Black,Fled on Foot,Sumner - Glenwood,Suspicious Vehicle ,FLEE
9014,Bodily Force,Male,White,Fled on Foot,Webber - Camden,Suspicious Vehicle ,OBSTRU
9015,Taser,Male,White,Verbal Non-Compliance,North Loop,Emotionally Disturb Person ,CIC
9016,Bodily Force,Male,Black,Tensed,Ventura Village,Officer Needs Help ,NODL
9017,Bodily Force,Male,Black,Fled on Foot,Jordan,Disturbance ,TRSPAS
9018,Bodily Force,Female,Black,Tensed,Jordan,Suspicious Person ,ASLT4
9019,Police K9 Bite,Male,Black,Assaulted Officer,Como,Sound of Shots Fired ,ASLT4
9020,Bodily Force,Male,White,Unspecified,Downtown West,Suspicious Person ,DISCON
9021,Chemical Irritant,Male,Black,Verbal Non-Compliance,Folwell,Domestic with Weapons ,FORCE
9022,Bodily Force,Male,Black,Fled on Foot,Folwell,Chase on Foot ,POSDPA
9023,Taser,Male,not recorded,Verbal Non-Compliance,Seward,Check the Welfare ,CIC
9024,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Marcy Holmes,Theft ,DAMMV
9025,Bodily Force,Female,White,Verbal Non-Compliance,Linden Hills,Attempted Suicide ,OD
9026,Chemical Irritant,Female,Asian,Commission of Crime,Downtown West,Suspicious Person ,DISCON
9027,Chemical Irritant,Male,White,Tensed,Lowry Hill East,Music-Loud ,DISCON
9028,Bodily Force,Male,Black,Fled in Vehicle,Seward,Sound of Shots Fired ,FLEE
9029,Bodily Force,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEEMV
9030,Bodily Force,Male,Black,Fled on Foot,Ventura Village,Burglary Biz - In Progress ,OBSTRU
9031,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Beltrami,Chase on Foot ,VDNCO
9032,Taser,Male,White,Unspecified,Downtown West,Burglary Biz - In Progress ,DAMPRP
9033,Chemical Irritant,Male,Black,Verbal Non-Compliance,Lyndale,Disturbance ,DISCON
9034,Chemical Irritant,Male,Black,Fled on Foot,Downtown West,Disturbance ,DISCON
9035,Chemical Irritant,Female,Black,Unspecified,Folwell,Fight ,DISCON
9036,Bodily Force,Male,Black,Tensed,Minnehaha,Prowler ,BURGD
9037,Chemical Irritant,Female,Black,Verbal Non-Compliance,Willard - Hay,Person with a Gun ,FORCE
9038,Bodily Force,Male,Native American,Fled on Foot,Midtown Phillips,Suspicious Person ,OBSTRU
9039,Bodily Force,Male,Black,Verbal Non-Compliance,Willard - Hay,Domestic ,WEAP
9040,Bodily Force,Male,Black,Tensed,Kenwood,Walk Through a Building ,OBSTRU
9041,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Disturbance ,ASLT4
9042,Bodily Force,Male,White,Commission of Crime,Folwell,Burglary Dwlng In Progress ,BURGD
9043,Taser,Male,White,Verbal Non-Compliance,Windom,Check the Welfare ,CIC
9044,Bodily Force,Male,Asian,Assaulted Officer,West Calhoun,Customer Trouble ,ASLT4
9045,Taser,Male,Black,Tensed,Downtown West,Miscellaneous ,FORCE
9046,Taser,Male,Black,Tensed,Elliot Park,Emotionally Disturb Person ,CIC
9047,Bodily Force,Male,Black,Tensed,Willard - Hay,Unknown Trouble ,DASLT2
9048,Taser,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
9049,Bodily Force,Male,White,Assaulted Officer,Lowry Hill East,Chase on Foot ,ASLT4
9050,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU
9051,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,FLEEFT
9052,Bodily Force,Male,Black,Fled on Foot,Downtown West,Assault in Progress ,NARC
9053,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Suspicious Person ,OBSTRU
9054,Taser,Male,Black,Tensed,Steven's Square - Loring Heights,Suspicious Person ,INTPED
9055,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Suspicious Person ,NARC
9056,Bodily Force,Male,Black,Tensed,Bottineau,Assault in Progress ,DASLT5
9057,Bodily Force,Male,White,Commission of Crime,Downtown West,Suspicious Person ,PUBURN
9058,Bodily Force,Male,White,Tensed,Marcy Holmes,Loud Party ,OBSTRU
9059,Taser,Male,Black,Fled on Foot,Marcy Holmes,Loud Party ,OBSTRU
9060,Bodily Force,Male,Black,Unspecified,Jordan,Unknown Trouble ,DOMEN
9061,Bodily Force,Male,Black,Tensed,Midtown Phillips,High Risk Warrant Entry ,NARC
9062,Bodily Force,Male,Black,Commission of Crime,St. Anthony East,Suspicious Person ,THREAT
9063,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Fight ,FORCE
9064,Bodily Force,Male,Black,Fled on Foot,Elliot Park,Assault in Progress ,ASLT5
9065,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DASLT5
9066,Bodily Force,Female,Other / Mixed Race,Assaulted Officer,Phillips West,Assault in Progress ,ASLT5
9067,Chemical Irritant,Female,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,DISCON
9068,Bodily Force,Male,Black,Verbal Non-Compliance,Windom Park,Suspicious Person ,OBSTRU
9069,Bodily Force,Male,Black,Commission of Crime,Ventura Village,Unknown Trouble ,DASLT5
9070,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
9071,Bodily Force,Female,Black,Commission of Crime,Cleveland,Disturbance ,ASLT4
9072,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,DISCON
9073,Bodily Force,Male,White,Tensed,Whittier,Unwanted Person ,OBSTRU
9074,Bodily Force,Male,Black,Fled on Foot,Jordan,Theft ,OBSTRU
9075,Bodily Force,Male,White,Tensed,Beltrami,Emotionally Disturb Person ,CIC
9076,Chemical Irritant,Male,Other / Mixed Race,Commission of Crime,Downtown West,Fight ,FORCE
9077,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON
9078,Bodily Force,Male,Black,Tensed,Beltrami,Suspicious Vehicle ,OBSTRU
9079,Bodily Force,Male,Black,Tensed,Harrison,Disturbance ,FENTRY
9080,Bodily Force,Male,White,Tensed,Marcy Holmes,Suspicious Person ,DISCON
9081,Chemical Irritant,Male,Native American,Commission of Crime,East Phillips,Fight ,OBSTRU
9082,Bodily Force,Female,Black,Tensed,Midtown Phillips,Suspicious Person ,LOITER
9083,Bodily Force,Male,Black,Fled on Foot,Whittier,Narcotics ,FLEEFT
9084,Chemical Irritant,Female,Black,Verbal Non-Compliance,Downtown West,Fight ,FORCE
9085,Bodily Force,Male,White,Tensed,Como,Domestic ,CIC
9086,Chemical Irritant,Male,Black,Commission of Crime,Tangletown,Fight ,ASLT5
9087,Bodily Force,Male,Black,Tensed,Ventura Village,Neighbor Trouble ,ASLT5
9088,Bodily Force,Male,White,Verbal Non-Compliance,East Phillips,Assault in Progress ,DASLT5
9089,Bodily Force,Male,White,Assaulted Officer,Cooper,Fight ,CIC
9090,Bodily Force,Male,White,Tensed,Loring Park,Suspicious Person ,ASLT5
9091,Bodily Force,Male,Black,Verbal Non-Compliance,Elliot Park,Suspicious Person ,TRSPAS
9092,Bodily Force,Male,Native American,Fled on Foot,Longfellow,Check the Welfare ,DASLT5
9093,Bodily Force,Male,Black,Unspecified,Folwell,Shooting ,ASLT2
9094,Gun Point Display,Male,Black,Unspecified,Jordan,High Risk Warrant Entry ,NARC
9095,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Person with a Gun ,WEAP
9096,Bodily Force,Female,Native American,Fled on Foot,East Phillips,Suspicious Person ,FLEEFT
9097,Bodily Force,Male,Black,Fled on Foot,Webber - Camden,Suspicious Vehicle ,RECVEH
9098,Taser,Male,Black,Fled on Foot,Lowry Hill East,Person with a Gun ,NARC
9099,Bodily Force,Male,Black,Commission of Crime,Near - North,Fight ,FLEEFT
9100,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Miscellaneous ,DISCON
9101,Chemical Irritant,Male,Other / Mixed Race,Unspecified,Downtown West,Disturbance ,FORCE
9102,Bodily Force,Male,White,Tensed,Lowry Hill East,Suspicious Person ,ASLT5
9103,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Domestic Abuse-In Progress ,THREAT
9104,Chemical Irritant,Female,Black,Commission of Crime,Downtown West,Miscellaneous ,FORCE
9105,Bodily Force,Female,Native American,Assaulted Officer,Ventura Village,Threats ,ASLT4
9106,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Theft - Report Only ,FORCE
9107,Bodily Force,Male,White,Commission of Crime,Downtown West,Disturbance ,DISCON
9108,Taser,Male,White,Verbal Non-Compliance,Windom,Check the Welfare ,CIC
9109,Chemical Irritant,Female,Other / Mixed Race,Verbal Non-Compliance,Linden Hills,Suspicious Person ,FOBEY
9110,Bodily Force,Male,Black,Tensed,Downtown West,Disturbance ,DISCON
9111,Taser,Male,Black,Tensed,Downtown West,Suspicious Person ,DAMMV
9112,Bodily Force,Male,White,Unspecified,Downtown West,Disturbance ,FORCE
9113,Taser,Male,Native American,Tensed,Loring Park,Down Outside-One ,FORCE
9114,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,RIOT
9115,Bodily Force,Male,Black,Fled on Foot,Midtown Phillips,Suspicious Vehicle ,RECVEH
9116,Bodily Force,Male,Black,Fled on Foot,Standish,Miscellaneous ,FC
9117,Bodily Force,Male,White,Commission of Crime,Marcy Holmes,Suspicious Person ,DISCON
9118,Bodily Force,Male,Black,Unspecified,Near - North,Fight ,OBSTRU
9119,Chemical Irritant,Male,Asian,Fled on Foot,Downtown West,Fight ,FLEEFT
9120,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Disturbance ,OBSTRU
9121,Chemical Irritant,Male,Asian,Verbal Non-Compliance,Downtown West,Fight ,OBSTRU
9122,Taser,Male,White,Assaulted Officer,Cooper,Fight ,CIC
9123,Bodily Force,Male,White,Tensed,Marcy Holmes,Unwanted Person ,DISCON
9124,Bodily Force,Male,Black,Verbal Non-Compliance,Audubon Park,Traffic Law Enforcement ,OBSTRU
9125,Bodily Force,Female,Black,Commission of Crime,Willard - Hay,Fight ,OBSTRU
9126,Bodily Force,Male,Black,Unspecified,Audubon Park,Suspicious Person ,BURGD
9127,Gun Point Display,Male,Native American,Tensed,East Phillips,Attempt Pick-Up ,WT
9128,Bodily Force,Male,Black,Verbal Non-Compliance,Folwell,Stabbing ,ASLT2
9129,Chemical Irritant,Male,Black,Commission of Crime,Powderhorn Park,Suspicious Person ,OBSTRU
9130,Bodily Force,Male,Other / Mixed Race,Tensed,Corcoran,Unknown Wireless/Cell Phone,DASLT5
9131,Bodily Force,Male,Black,Verbal Non-Compliance,Whittier,Traffic Law Enforcement ,DWI
9132,Bodily Force,Male,not recorded,Assaulted Officer,Powderhorn Park,Domestic ,OBSTRU
9133,Bodily Force,Male,Black,Unspecified,Jordan,Suspicious Person ,NARC
9134,Bodily Force,Male,Black,Assaulted Officer,Ventura Village,Person with a Gun ,ASLT4
9135,Bodily Force,Male,Black,Tensed,Downtown West,Theft-Hold One Cooperative ,THEFT
9136,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Disturbance ,PUBURN
9137,Chemical Irritant,Male,Other / Mixed Race,Verbal Non-Compliance,Marcy Holmes,Fight ,OBSTRU
9138,Bodily Force,Male,White,Unspecified,Downtown West,Burglary Biz - In Progress ,DAMPRP
9139,Chemical Irritant,Female,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,DISCON
9140,Bodily Force,Male,Unknown,Assaulted Officer,Downtown West,Emotionally Disturb Person ,OPBOTT
9141,Bodily Force,Male,Black,Verbal Non-Compliance,Hawthorne,Narcotics ,OBSTRU
9142,Bodily Force,Male,Black,Fled on Foot,Near - North,Domestic Abuse-In Progress ,OBSTRU
9143,Bodily Force,Male,White,Tensed,Downtown West,Officer Needs Help ,CIC
9144,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,TRSPAS
9145,Chemical Irritant,Male,Asian,Commission of Crime,Downtown West,Fight ,DISCON
9146,Bodily Force,Male,White,Assaulted Officer,Lyndale,Paramedic Needs Help ,ASLT4
9147,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Theft ,FORCE
9148,Bodily Force,Male,White,Verbal Non-Compliance,Whittier,Domestic Abuse-In Progress ,DASLT5
9149,Bodily Force,Male,Black,Fled on Foot,Longfellow,Domestic ,DASLT5
9150,Bodily Force,Male,Black,Tensed,Downtown West,Disturbance ,DISCON
9151,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Assault in Progress ,CURFEW
9152,Bodily Force,Male,White,Assaulted Officer,Cedar Riverside,Attempted Suicide ,FORCE
9153,Chemical Irritant,Male,White,Fled on Foot,Lyndale,Suspicious Person ,FLEEFT
9154,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON
9155,Taser,Male,White,Commission of Crime,Lowry Hill East,Unknown Trouble ,OBSTRU
9156,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,OBSTRU
9157,Bodily Force,Male,Black,Unspecified,Steven's Square - Loring Heights,Check the Welfare ,CIC
9158,Gun Point Display,Male,White,Tensed,Holland,Person with a Gun ,OBSTRU
9159,Taser,Male,White,Verbal Non-Compliance,Downtown West,Suspicious Person ,OBSTRU
9160,Bodily Force,Male,Black,Tensed,McKinley,Unknown Trouble ,DASLT2
9161,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Person ,NARC
9162,Bodily Force,Male,Black,Fled on Foot,Folwell,Suspicious Vehicle ,WEAP
9163,Bodily Force,Male,White,Commission of Crime,Downtown West,Suspicious Person ,PUBURN
9164,Bodily Force,Male,Black,Fled on Foot,Marcy Holmes,Loud Party ,OBSTRU
9165,Bodily Force,Male,White,Tensed,Marcy Holmes,Loud Party ,OBSTRU
9166,Taser,Male,Black,Fled on Foot,East Phillips,Chase on Foot ,LOITER
9167,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Motor Vehicle Chase ,FLEE
9168,Bodily Force,Male,Black,Tensed,Willard - Hay,Suspicious Vehicle ,OBSTRU
9169,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Fight ,FORCE
9170,Bodily Force,Male,Other / Mixed Race,Tensed,Sheridan,Domestic Abuse-In Progress ,PRIORI
9171,Taser,Male,Black,Fled on Foot,Jordan,Domestic Abuse-In Progress ,BURGD
9172,Bodily Force,Male,Black,Fled on Foot,Audubon Park,Domestic Abuse-In Progress ,VDNCO
9173,Bodily Force,Male,Black,Commission of Crime,Sumner - Glenwood,Damage Property-In Progress,OBSTRU
9174,Chemical Irritant,Male,Native American,Commission of Crime,Near - North,Domestic ,OBSTRU
9175,Bodily Force,Male,Asian,Tensed,Downtown West,Suspicious Person ,DISCON
9176,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON
9177,Bodily Force,Male,Unknown,Tensed,Downtown West,Disturbance ,DISCON
9178,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,FORCE
9179,Bodily Force,Male,Black,Commission of Crime,Near - North,Disturbance ,WEAP
9180,Bodily Force,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEEMV
9181,Bodily Force,Female,Black,Tensed,Folwell,Domestic ,CBYMIN
9182,Bodily Force,Male,Black,Tensed,Willard - Hay,Suspicious Person ,DISCON
9183,Bodily Force,Male,Native American,Commission of Crime,Ventura Village,Domestic Abuse-In Progress ,DASLT2
9184,Bodily Force,Male,White,Assaulted Officer,Downtown East,Suspicious Vehicle ,OBSTRU
9185,Bodily Force,Male,Black,Tensed,Harrison,Disturbance ,FENTRY
9186,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,LOITER
9187,Bodily Force,Male,Black,Unspecified,Downtown West,Suspicious Vehicle ,CD
9188,Chemical Irritant,Male,Black,Verbal Non-Compliance,Ventura Village,Assault in Progress ,DASLT5
9189,Bodily Force,Male,Black,Tensed,Near - North,Suspicious Vehicle ,DWIREF
9190,Bodily Force,Female,Black,Commission of Crime,Downtown West,Fight ,ASLT4
9191,Taser,Male,Black,Unspecified,CARAG,Attempted Suicide ,SUICDE
9192,Bodily Force,Male,Black,Commission of Crime,Jordan,Indecent Exposure ,INDCON
9193,Taser,Male,Asian,Tensed,Downtown West,Fight ,OBSTRU
9194,Taser,Male,White,Verbal Non-Compliance,East Phillips,Assault in Progress ,DASLT5
9195,Bodily Force,Male,Black,Commission of Crime,Hawthorne,Suspicious Person ,WEAP
9196,Chemical Irritant,Male,Black,Commission of Crime,North Loop,Fight ,DISCON
9197,Bodily Force,Male,Black,Fled on Foot,Folwell,Damage Property-In Progress,DAMPRP
9198,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Unknown Trouble ,DASLT5
9199,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,DISCON
9200,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Person with a Gun ,WEAP
9201,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Person with a Gun ,WEAP
9202,Chemical Irritant,Male,Black,Unspecified,Downtown West,Miscellaneous ,FORCE
9203,Taser,Male,Black,Tensed,Phillips West,Fight ,ASLT2
9204,Bodily Force,Male,Asian,Fled on Foot,McKinley,Miscellaneous ,BURGD
9205,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Assault in Progress ,DISCON
9206,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,CANCIP
9207,Taser,Male,Black,Tensed,Lind - Bohanon,Assist EMS Personnel ,AOA
9208,Bodily Force,Male,White,Assaulted Officer,Lyndale,Paramedic Needs Help ,ASLT4
9209,Taser,Male,White,Fled on Foot,Marshall Terrace,Suspicious Person ,FLEEFT
9210,Bodily Force,Female,White,Tensed,Hawthorne,Suspicious Vehicle ,OBSTRU
