,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense
69,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI
70,Taser,Male,White,Fled in Vehicle,Near - North,Motor Vehicle Chase ,FLEE
71,Taser,Male,Black,Tensed,Audubon Park,Assault in Progress ,FORCE
72,Chemical Irritant,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,OBSTRU
73,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,DISCON
75,Bodily Force,Male,Black,Tensed,Cleveland,Domestic Abuse-In Progress ,DASLT5
76,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Person ,RECVEH
77,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU
78,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Fight ,ASLT4
79,Taser,Male,Native American,Tensed,Ventura Village,Drunk/Intoxicated Person ,FORCE
80,Bodily Force,Male,White,Verbal Non-Compliance,Downtown West,Fight ,THFTSW
81,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON
82,Bodily Force,Male,White,Fled on Foot,Lowry Hill East,Damage Property-In Progress,OBSTRU
83,Bodily Force,Male,Black,Unspecified,Bottineau,Miscellaneous ,DISCON
84,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL
85,Bodily Force,Male,Black,Verbal Non-Compliance,Ventura Village,Trespass in Boarded Dwell ,NARC
86,Bodily Force,Male,Black,Tensed,Powderhorn Park,Person with a Weapon ,THEFT
87,Chemical Irritant,Male,White,Unspecified,Downtown West,Fight ,FORCE
88,Baton,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU
89,Bodily Force,Female,Black,Commission of Crime,Harrison,Attempt Pick-Up ,OBSTRU
90,Chemical Irritant,Male,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON
91,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI
92,Bodily Force,Male,Black,Commission of Crime,Loring Park,Fight ,DISCON
93,Chemical Irritant,Male,Black,Verbal Non-Compliance,Longfellow,Theft ,DISCON
94,Bodily Force,Male,Black,Commission of Crime,Willard - Hay,Attempt Pick-Up ,HANDGN
95,Bodily Force,Male,Asian,Fled on Foot,Folwell,Chase on Foot ,OBSTRU
96,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
97,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
98,Bodily Force,Male,Black,Tensed,Harrison,Disturbance ,DISCON
99,Bodily Force,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE
100,Bodily Force,Male,Black,Verbal Non-Compliance,Lowry Hill East,Assault in Progress ,POVIOL
101,Bodily Force,Male,White,Tensed,Downtown West,On Site ,NOSMOK
102,Bodily Force,Male,White,Unspecified,Lyndale,Suspicious Vehicle ,NOINS
103,Bodily Force,Male,White,Tensed,Downtown East,Traffic Law Enforcement ,OBSTRU
104,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI
105,Bodily Force,Male,Black,Fled in Vehicle,Hawthorne,Traffic Law Enforcement ,FLEE
106,Bodily Force,Male,White,Unspecified,East Harriet,Suspicious Vehicle ,AOA
107,Taser,Male,Black,Fled in Vehicle,Phillips West,Person with a Gun ,FLEE
108,Bodily Force,Male,Black,Tensed,Near - North,Unknown Trouble ,DASLT5
109,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Suspicious Vehicle ,DWIREF
110,Chemical Irritant,Male,White,Verbal Non-Compliance,Harrison,Person with a Gun ,OBSTRU
111,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU
112,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU
113,Bodily Force,Female,Other / Mixed Race,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB
114,Bodily Force,Male,Black,Fled on Foot,East Isles,Crim Sex Conduct/Report ,CSCR
115,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB
116,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB
117,Bodily Force,Male,White,Tensed,Downtown West,Miscellaneous ,FORCE
118,Taser,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEE
119,Bodily Force,Male,White,Tensed,Lowry Hill,Unknown Trouble ,CBYMIN
120,Taser,Male,White,Verbal Non-Compliance,Cleveland,Check the Welfare ,CIC
121,Bodily Force,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU
122,Chemical Irritant,Male,White,Fled on Foot,Waite Park,Unknown Trouble ,DASLT5
123,Bodily Force,Male,Other / Mixed Race,Tensed,Nicollet Island - East Bank,Poss Personal Injury Acc ,DWI
124,Taser,Male,Black,Tensed,Central,Fight ,OBSTRU
125,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Suspicious Vehicle ,OBSTRU
126,Bodily Force,Male,Black,Fled in Vehicle,Downtown West,Traffic Law Enforcement ,FLEE
127,Bodily Force,Male,White,Verbal Non-Compliance,Lowry Hill East,Suspicious Person ,ASLT5
128,Bodily Force,Male,Black,Tensed,Midtown Phillips,Domestic Abuse-In Progress ,DASLT5
129,Bodily Force,Male,White,Commission of Crime,Whittier,Paramedic Needs Help ,ASLT5
130,Bodily Force,Male,Black,Fled in Vehicle,Wenonah,Suspicious Vehicle ,FLEE
131,Taser,Male,Black,Fled in Vehicle,Near - North,Traffic Law Enforcement ,FLEE
132,Bodily Force,Male,Unknown,Tensed,Near - North,Domestic Abuse-In Progress ,OBSTRU
133,Bodily Force,Male,Black,Assaulted Officer,Hawthorne,Domestic Abuse-In Progress ,ASLT1
134,Taser,Male,Native American,Tensed,Hawthorne,Domestic Abuse-In Progress ,OBSTRU
135,Bodily Force,Male,Black,Verbal Non-Compliance,East Phillips,Person with a Weapon ,ASLT5
136,Bodily Force,Female,Black,Commission of Crime,Harrison,Attempt Pick-Up ,OBSTRU
137,Chemical Irritant,Female,White,Commission of Crime,CARAG,Domestic Abuse-In Progress ,DISCON
138,Bodily Force,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE
139,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Vehicle ,DWI
140,Bodily Force,Female,Black,Tensed,Downtown West,Disturbance ,DISCON
141,Taser,Male,Black,Verbal Non-Compliance,Whittier,Person with a Weapon ,ASLT5
142,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL
143,Taser,Male,Native American,Verbal Non-Compliance,Cedar Riverside,Assault in Progress ,FORCE
144,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU
145,Bodily Force,Male,Black,Commission of Crime,Downtown West,Unwanted Person ,OBSTRU
146,Bodily Force,Female,Native American,Tensed,Corcoran,Domestic Abuse-In Progress ,DASLT5
147,Bodily Force,Male,Black,Assaulted Officer,Steven's Square - Loring Heights,Unknown Trouble ,DASTR
148,Improvised Weapon,Male,Black,Fled in Vehicle,Near - North,Suspicious Vehicle ,FLEE
149,Bodily Force,Male,White,Tensed,East Phillips,Traffic Law Enforcement ,NARC
150,Bodily Force,Female,Black,Commission of Crime,Jordan,Attempt Pick-Up ,CHLDAB
151,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Burglary Biz - In Progress ,BURGB
152,Improvised Weapon,Male,White,Unspecified,Hawthorne,Person with a Gun ,FORCE
153,Bodily Force,Female,Black,Assaulted Officer,Bottineau,Suspicious Person ,DISCON
154,Taser,Male,Black,Verbal Non-Compliance,Whittier,Person with a Weapon ,ASLT5
155,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL
156,Taser,Male,Black,Tensed,Elliot Park,On Site ,PI
157,Bodily Force,Male,Black,Tensed,Standish,Person with a Gun ,ROBPAG
158,Bodily Force,Male,White,Fled in Vehicle,Central,Motor Vehicle Chase ,FLEE
159,Bodily Force,Male,Black,Tensed,Waite Park,Domestic Abuse-In Progress ,OBSTRU
160,Bodily Force,Male,White,Tensed,Sheridan,Unwanted Person ,OBSTRU
161,Bodily Force,Male,Black,Verbal Non-Compliance,East Phillips,Person with a Weapon ,ASLT5
162,Taser,Female,Black,Commission of Crime,Tangletown,Fight ,FLEEFT
163,Bodily Force,Male,Black,Tensed,Hawthorne,Neighbor Trouble ,OBSTRU
164,Baton,Male,Black,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4
165,Bodily Force,Male,Asian,Fled on Foot,Sumner - Glenwood,Theft ,BURGTL
