,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
4912,Less Lethal Weapons,Male,Black,commission of crime,Domestic,-93.221076,44.927839
4913,Bodily Force,Male,Black,fled,Domestic,-93.306356,45.018645
4914,Bodily Force,Male,Black,fled,Domestic,-93.306988,45.017746
4915,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.313351,44.991088
4916,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.281585,44.977192
4917,Bodily Force,Male,other,tensed,Property & Vehicle,-93.233278,44.947024
4918,Chemical Irritant,Male,Black,commission of crime,Property & Vehicle,-93.308476,45.004039
4919,Chemical Irritant,Female,Black,other/unspecified,Violent,-93.314062,45.024095
4920,Bodily Force,Male,Black,tensed,Domestic,-93.289919,44.987251
4921,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.304439,45.004676
4922,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.296852,45.019471
4923,Bodily Force,Male,White,other/unspecified,Violent,-93.248022,44.951957
4924,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.292545,44.984471
4925,Less Lethal Weapons,Female,Native American,fled,Suspicious & Disorder,-93.262041,44.948358
4926,Less Lethal Weapons,Male,Native American,fled,Property & Vehicle,-93.247356,44.955998
4927,Bodily Force,Male,White,commission of crime,Violent,-93.248594,44.958237
4928,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.256228,44.958235
4929,Bodily Force,Female,Black,tensed,Domestic,-93.31078,44.992428
4930,Bodily Force,Male,Native American,commission of crime,Domestic,-93.256469,45.006003
4931,Less Lethal Weapons,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.300673,44.996871
4932,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.283608,44.953744
4933,Chemical Irritant,Male,White,commission of crime,Violent,-93.272499,44.979626
4934,Bodily Force,Male,other,commission of crime,Suspicious & Disorder,-93.233184,44.947791
4935,Bodily Force,Female,White,assaulting police officer or animal,Violent,-93.257578,44.947453
4936,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.296852,45.019471
4937,Bodily Force,Male,Black,tensed,Violent,-93.270764,44.980866
4938,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.292545,44.984471
4939,Bodily Force,Male,White,assaulting police officer or animal,Violent,-93.267192,44.965582
4940,Bodily Force,Male,Black,fled,Property & Vehicle,-93.247104,44.98695
4941,Chemical Irritant,Female,White,tensed,Violent,-93.274284,44.979986
4942,Bodily Force,Male,other,commission of crime,Violent,-93.248022,44.951957
4943,Bodily Force,Male,Black,tensed,Violent,-93.234742,44.949264
4944,Bodily Force,Male,Black,tensed,Violent,-93.272499,44.979626
4945,Bodily Force,Male,Black,fled,Domestic,-93.253654,44.929622
4946,Bodily Force,Male,Black,commission of crime,Violent,-93.27196,44.980833
4947,Bodily Force,Male,Black,tensed,Violent,-93.30758,44.99876
4948,Bodily Force,Male,other,tensed,Welfare & Emergency,-93.256724,44.969004
4949,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.271883,44.980065
4950,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.27196,44.980833
4951,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.301323,44.991497
4952,Bodily Force,Male,White,tensed,Domestic,-93.262565,44.961358
4953,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.297477,45.018579
4954,Bodily Force,Male,Black,commission of crime,Violent,-93.261253,44.926037
4955,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.276431,44.976808
4956,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.305088,44.991503
4957,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.295767,45.035655
4958,Bodily Force,Male,Black,tensed,Domestic,-93.29254,45.02759
4959,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.272499,44.979626
4960,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.272499,44.979626
4961,Bodily Force,Female,other,assaulting police officer or animal,Welfare & Emergency,-93.290836,44.925909
4962,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.272499,44.979626
4963,Bodily Force,Male,other,tensed,Suspicious & Disorder,-93.258484,44.959124
4964,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.300468,45.050246
4965,Chemical Irritant,Female,White,verbal non-compliance,Suspicious & Disorder,-93.236412,44.986567
4966,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.236412,44.986567
4967,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.268307,44.955532
4968,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.272499,44.979626
4969,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.299367,45.0087
4970,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.275347,44.977582
4971,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.254734,44.969462
4972,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.286736,44.971955
4973,Bodily Force,Male,Black,fled,Property & Vehicle,-93.281566,44.995809
4974,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.287991,45.004243
4976,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.246042,45.03033
4977,Bodily Force,Female,White,other/unspecified,Suspicious & Disorder,-93.291173,45.014926
4978,Bodily Force,Female,White,commission of crime,Property & Vehicle,-93.243814,45.008421
4979,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.275347,44.977582
4980,Chemical Irritant,Female,Black,other/unspecified,Violent,-93.271883,44.980065
4981,Bodily Force,Male,White,fled,Welfare & Emergency,-93.275976,44.935933
4982,Bodily Force,Male,Black,commission of crime,Violent,-93.277814,44.968853
4983,Bodily Force,Male,White,assaulting police officer or animal,Welfare & Emergency,-93.277815,44.964078
4984,Bodily Force,Male,Native American,fled,Suspicious & Disorder,-93.247313,45.031227
4985,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.283044,44.91059
4986,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.304455,44.99361
4987,Bodily Force,Male,other,fled,Suspicious & Disorder,-93.251222,44.949215
4988,Bodily Force,Male,Native American,assaulting police officer or animal,Welfare & Emergency,-93.273422,44.975433
4989,Bodily Force,Female,Black,other/unspecified,Domestic,-93.28504,44.928641
4990,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.273109,44.979187
4991,Bodily Force,Male,Native American,tensed,Violent,-93.226387,44.948373
4992,Bodily Force,Male,Black,other/unspecified,Property & Vehicle,-93.308228,45.010535
4993,Bodily Force,Male,White,fled,Property & Vehicle,-93.314608,45.002013
4994,Bodily Force,Female,Black,verbal non-compliance,Domestic,-93.274069,44.94226
4995,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.298983,45.003721
4996,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.247769,44.990969
4997,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.273109,44.979187
4998,Bodily Force,Male,other,assaulting police officer or animal,Domestic,-93.276619,44.935027
4999,Less Lethal Weapons,Female,Native American,tensed,Violent,-93.242322,44.94795
5000,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.24858,44.917074
5001,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.287632,45.046619
5002,Bodily Force,Male,White,assaulting police officer or animal,Welfare & Emergency,-93.26312,44.972368
5003,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.257725,45.035546
5004,Bodily Force,Female,White,tensed,Suspicious & Disorder,-93.274284,44.979986
5005,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.274885,44.97606
5006,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.298798,44.982621
5007,Less Lethal Weapons,Male,Black,tensed,Suspicious & Disorder,-93.27196,44.980833
5008,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.236412,44.986567
5009,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.236412,44.986567
5010,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.304432,45.010512
5011,Bodily Force,Male,Black,assaulting police officer or animal,Property & Vehicle,-93.273116,44.981648
5012,Chemical Irritant,Male,Black,fled,Suspicious & Disorder,-93.301323,44.991497
5013,Guns,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.303195,44.97711
5014,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.297263,45.043916
5015,Bodily Force,Male,Native American,fled,Violent,-93.287518,44.944734
5016,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278197,44.976944
5017,Less Lethal Weapons,Male,White,commission of crime,Welfare & Emergency,-93.273422,44.975433
5018,Bodily Force,Male,White,tensed,Domestic,-93.262565,44.961358
5019,Less Lethal Weapons,Male,Black,commission of crime,Welfare & Emergency,-93.272499,44.979626
5020,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.269582,44.981028
5021,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.295767,45.035655
5022,Bodily Force,Female,Black,assaulting police officer or animal,Domestic,-93.308863,44.993322
5023,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.273109,44.979187
5024,Less Lethal Weapons,Male,White,fled,Suspicious & Disorder,-93.239479,44.948369
5025,Bodily Force,Male,Black,fled,Property & Vehicle,-93.271797,44.977367
5026,Bodily Force,Male,White,assaulting police officer or animal,Welfare & Emergency,-93.277815,44.964078
5027,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.271963,44.981655
5028,Bodily Force,Female,White,tensed,Property & Vehicle,-93.300389,44.914149
5029,Chemical Irritant,Male,Black,commission of crime,Violent,-93.273116,44.981648
5030,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.308244,45.014157
5031,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.222832,44.969758
5032,Bodily Force,Male,White,verbal non-compliance,Welfare & Emergency,-93.246464,45.010877
5033,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.280523,44.948347
5034,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.298199,44.991192
5035,Bodily Force,Female,Black,other/unspecified,Domestic,-93.28504,44.928641
5036,Less Lethal Weapons,Male,Native American,fled,Suspicious & Disorder,-93.282096,44.971583
5037,Bodily Force,Male,Black,fled,Property & Vehicle,-93.268374,44.950076
5038,Bodily Force,Male,White,tensed,Domestic,-93.262565,44.961358
5039,Bodily Force,Male,White,tensed,Violent,-93.247719,44.973084
5040,Bodily Force,Male,Black,commission of crime,Violent,-93.261253,44.926037
5041,Less Lethal Weapons,Female,White,assaulting police officer or animal,Domestic,-93.2563,44.950263
5042,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.25809,44.969583
5043,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.274069,44.94226
5044,Chemical Irritant,Male,Black,assaulting police officer or animal,Domestic,-93.274069,44.94226
5045,Bodily Force,Male,Black,tensed,Domestic,-93.29254,45.02759
5046,Bodily Force,Female,White,tensed,Suspicious & Disorder,-93.27736,44.976774
5047,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.27023,44.979295
5048,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.255126,44.962727
5049,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.263519,44.998703
5050,Less Lethal Weapons,Female,Black,commission of crime,Property & Vehicle,-93.279706,44.943831
5051,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.275298,44.986505
5052,Chemical Irritant,Female,Black,commission of crime,Violent,-93.271883,44.980065
5053,Bodily Force,Male,other,commission of crime,Domestic,-93.292581,45.00205
5054,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.308476,45.004039
5055,Bodily Force,Male,White,fled,Suspicious & Disorder,-93.271668,45.014964
5056,Bodily Force,Male,other,other/unspecified,Violent,-93.274296,44.980781
5057,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.272736,44.984107
5058,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.299432,44.993608
5059,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.272499,44.979626
5060,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.312712,45.018663
5061,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.300464,45.047536
5062,Bodily Force,Male,Black,verbal non-compliance,Domestic,-93.297263,45.043916
5063,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.273484,44.948355
5064,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.284931,45.027556
5065,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.271883,44.980065
5066,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.273422,44.975433
5067,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.26176,44.97179
5068,Bodily Force,Male,Native American,tensed,Violent,-93.226387,44.948373
5069,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.297477,45.018579
5070,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.244852,44.957217
5071,Bodily Force,Male,other,other/unspecified,Property & Vehicle,-93.293029,44.960518
5072,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.23458,44.962504
5073,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.23458,44.962504
5074,Bodily Force,Male,Black,commission of crime,Violent,-93.272499,44.979626
5075,Bodily Force,Female,Black,assaulting police officer or animal,Domestic,-93.280837,44.969328
5076,Bodily Force,Male,Black,tensed,Domestic,-93.278106,44.894933
5077,Chemical Irritant,Male,Native American,tensed,Violent,-93.244863,44.94565
5078,Bodily Force,Male,Black,commission of crime,Violent,-93.287632,45.046619
5079,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.287632,45.046619
5080,Chemical Irritant,Male,Black,fled,Suspicious & Disorder,-93.277025,44.978019
5081,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.271065,44.978339
5082,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.262558,44.962257
5083,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.308324,45.023181
5084,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.273141,44.980808
5085,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.281348,44.968794
5086,Bodily Force,Male,Black,assaulting police officer or animal,Suspicious & Disorder,-93.264582,44.948354
5087,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.278819,44.978407
5088,Bodily Force,Male,White,assaulting police officer or animal,Welfare & Emergency,-93.277815,44.964078
5089,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.271963,44.981655
5090,Bodily Force,Male,Black,fled,Violent,-93.267658,44.967612
5091,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.304455,44.99361
5092,Bodily Force,Male,White,fled,Welfare & Emergency,-93.274284,44.979986
5093,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.284931,45.027556
5094,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.273109,44.979187
5095,Bodily Force,Male,Black,fled,Property & Vehicle,-93.268374,44.950076
5096,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.295637,44.999709
5097,Bodily Force,Male,other,fled,Property & Vehicle,-93.273109,44.979187
5098,Chemical Irritant,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.277292,44.94666
5099,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.237154,45.012294
5100,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.27196,44.980833
5101,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.23458,44.962504
5102,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.272499,44.979626
5103,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.267657,44.963317
5104,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273141,44.980808
5105,Bodily Force,Female,Black,assaulting police officer or animal,Violent,-93.264582,44.948354
5106,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.23678,44.981536
5107,Bodily Force,Male,Black,fled,Property & Vehicle,-93.258187,44.963322
5108,Bodily Force,Male,Black,fled,Welfare & Emergency,-93.257725,45.035546
5109,Bodily Force,Male,Black,other/unspecified,Welfare & Emergency,-93.316246,45.011448
5110,Bodily Force,Female,Black,tensed,Property & Vehicle,-93.24983,44.988905
5111,Chemical Irritant,Male,Black,fled,Violent,-93.275395,44.99251
5112,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.236412,44.986567
5113,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.236412,44.986567
5114,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.268307,44.955532
5115,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Violent,-93.304432,45.010512
5116,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.272499,44.979626
5117,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.301323,44.991497
5118,Less Lethal Weapons,Male,White,commission of crime,Welfare & Emergency,-93.272499,44.979626
5119,Bodily Force,Male,other,tensed,Violent,-93.234009,44.980431
5120,Less Lethal Weapons,Male,Black,other/unspecified,Violent,-93.224377,44.901169
5121,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.272499,44.979626
5122,Less Lethal Weapons,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.277916,44.940441
5123,Bodily Force,Male,Native American,tensed,Violent,-93.226387,44.948373
5124,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.307654,44.986083
5125,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.272499,44.979626
5126,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.257236,44.977151
5127,Less Lethal Weapons,Male,Black,tensed,Domestic,-93.313407,45.023187
5128,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.236855,44.94837
5129,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.284933,45.002031
5130,Bodily Force,Female,Black,commission of crime,Domestic,-93.30258,44.991498
5131,Bodily Force,Male,Black,other/unspecified,Violent,-93.298264,45.028533
5132,Bodily Force,Male,other,commission of crime,Suspicious & Disorder,-93.278197,44.976944
5133,Bodily Force,Male,Black,fled,Property & Vehicle,-93.253141,44.948367
5134,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Violent,-93.283599,45.047891
5135,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.308244,45.014157
5136,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.283004,44.949548
5137,Bodily Force,Male,White,commission of crime,Violent,-93.30287,44.943143
5138,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.230004,44.94761
5139,Bodily Force,Male,White,fled,Welfare & Emergency,-93.274284,44.979986
5140,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.273422,44.975433
5141,Bodily Force,Male,White,assaulting police officer or animal,Suspicious & Disorder,-93.277916,44.940441
5142,Bodily Force,Male,White,tensed,Domestic,-93.262565,44.961358
5143,Bodily Force,Male,Native American,tensed,Violent,-93.226387,44.948373
5144,Bodily Force,Male,White,tensed,Violent,-93.247719,44.973084
5145,Bodily Force,Female,White,assaulting police officer or animal,Domestic,-93.2563,44.950263
5146,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.276431,44.976808
5147,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.305088,44.991503
5148,Bodily Force,Male,Black,assaulting police officer or animal,Domestic,-93.274069,44.94226
5149,Bodily Force,Female,White,verbal non-compliance,Domestic,-93.271861,44.986572
5150,Bodily Force,Female,White,tensed,Suspicious & Disorder,-93.27736,44.976774
5151,Bodily Force,Male,Black,other/unspecified,Welfare & Emergency,-93.264468,44.962696
5152,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.279509,44.977927
5153,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.273141,44.980808
5154,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.31279,45.024095
5155,Bodily Force,Male,Black,fled,Property & Vehicle,-93.296205,45.007759
5156,Bodily Force,Male,Black,tensed,Violent,-93.312045,45.004478
5157,Less Lethal Weapons,Male,White,commission of crime,Welfare & Emergency,-93.280837,44.969328
5158,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.247366,45.006421
5159,Bodily Force,Female,Native American,tensed,Suspicious & Disorder,-93.262017,44.946545
5160,Less Lethal Weapons,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.278819,44.978407
5161,Bodily Force,Male,Native American,tensed,Welfare & Emergency,-93.23678,44.981536
5162,Bodily Force,Male,Native American,fled,Property & Vehicle,-93.24865,44.952851
5163,Bodily Force,Male,Black,fled,Property & Vehicle,-93.247356,44.955998
5164,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.225388,44.898812
5165,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.272168,44.943169
5166,Bodily Force,Female,Black,verbal non-compliance,Violent,-93.271699,45.008036
5167,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.2802,44.999677
5168,Bodily Force,Male,Black,assaulting police officer or animal,Welfare & Emergency,-93.284931,45.027556
5169,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.271883,44.980065
5170,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.278819,44.978407
5171,Bodily Force,Male,Native American,fled,Suspicious & Disorder,-93.282096,44.971583
5172,Bodily Force,Male,Black,assaulting police officer or animal,Violent,-93.265202,44.950148
5173,Bodily Force,Male,Native American,commission of crime,Domestic,-93.247383,44.942134
5174,Bodily Force,Male,White,tensed,Violent,-93.247719,44.973084
5175,Less Lethal Weapons,Male,White,assaulting police officer or animal,Domestic,-93.295576,45.008656
5176,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.286493,45.015797
5177,Bodily Force,Male,Black,tensed,Welfare & Emergency,-93.23458,44.962504
5178,Bodily Force,Female,Black,assaulting police officer or animal,Suspicious & Disorder,-93.27196,44.980833
5179,Bodily Force,Female,other,assaulting police officer or animal,Welfare & Emergency,-93.290836,44.925909
5180,Chemical Irritant,Male,Black,fled,Property & Vehicle,-93.307592,45.009628
5181,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278197,44.976944
5182,Bodily Force,Female,other,tensed,Violent,-93.230258,44.940454
5183,Bodily Force,Male,Black,commission of crime,Violent,-93.287632,45.046619
5184,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.260375,44.960916
5185,Less Lethal Weapons,Male,Black,other/unspecified,Property & Vehicle,-93.258081,44.932342
5186,Bodily Force,Male,Black,fled,Property & Vehicle,-93.271797,44.977367
5187,Bodily Force,Male,Black,fled,Domestic,-93.266695,44.98379
5188,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.269582,44.981028
5189,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.28651,45.019402
5190,Bodily Force,Male,Black,fled,Violent,-93.309505,45.010536
5191,Bodily Force,Male,other,tensed,Domestic,-93.26312,44.972368
5192,Chemical Irritant,Female,Black,commission of crime,Violent,-93.272499,44.979626
5193,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.222832,44.969758
5194,Bodily Force,Male,Black,fled,Violent,-93.296222,45.020367
5195,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.299373,45.019495
5196,Chemical Irritant,Female,Black,commission of crime,Welfare & Emergency,-93.271883,44.980065
5197,Bodily Force,Male,Native American,tensed,Violent,-93.225106,44.898115
5198,Less Lethal Weapons,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.2499,44.993876
5199,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.273476,44.946661
5200,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.277812,44.964711
5201,Chemical Irritant,Female,Native American,commission of crime,Suspicious & Disorder,-93.244852,44.957217
5202,Bodily Force,Female,Black,fled,Property & Vehicle,-93.282534,44.98011
5203,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.271963,44.981655
5204,Less Lethal Weapons,Male,Black,commission of crime,Violent,-93.261095,44.960018
5205,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.26323,44.95553
5206,Less Lethal Weapons,Male,Black,tensed,Violent,-93.326002,44.970046
5207,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.284938,45.008964
5208,Bodily Force,Male,Black,verbal non-compliance,Welfare & Emergency,-93.276431,44.976808
5209,Chemical Irritant,Male,White,commission of crime,Suspicious & Disorder,-93.272499,44.979626
5210,Bodily Force,Male,Black,tensed,Property & Vehicle,-93.284933,45.002031
5211,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.296205,45.007759
5212,Chemical Irritant,Male,Black,commission of crime,Violent,-93.272499,44.979626
5213,Bodily Force,Female,Black,assaulting police officer or animal,Domestic,-93.280837,44.969328
5214,Bodily Force,Male,Black,other/unspecified,Suspicious & Disorder,-93.267657,44.963317
5215,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.271954,44.982469
5216,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.293351,44.999153
5217,Chemical Irritant,Male,Black,other/unspecified,Suspicious & Disorder,-93.295636,45.00316
5218,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.24858,44.917074
5219,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.278819,44.978407
5220,Less Lethal Weapons,Male,Black,fled,Property & Vehicle,-93.258187,44.963322
5221,Less Lethal Weapons,Male,Black,tensed,Suspicious & Disorder,-93.254363,44.953733
5222,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.28337,44.963217
5223,Less Lethal Weapons,Male,Black,tensed,Welfare & Emergency,-93.270764,44.980866
5224,Bodily Force,Male,Native American,fled,Domestic,-93.254988,44.954633
5225,Bodily Force,Male,Native American,tensed,Domestic,-93.287314,45.039429
5226,Bodily Force,Male,Black,other/unspecified,Domestic,-93.261575,45.010542
5227,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.253739,45.005559
5228,Bodily Force,Male,Black,other/unspecified,Violent,-93.293645,45.034539
5229,Bodily Force,Male,White,commission of crime,Violent,-93.247368,45.007414
5230,Bodily Force,Male,other,verbal non-compliance,Suspicious & Disorder,-93.252438,44.997803
5231,Bodily Force,Female,Black,verbal non-compliance,Suspicious & Disorder,-93.30885,45.000583
5232,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.271528,44.906098
5233,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.29248,45.023963
5234,Less Lethal Weapons,Male,Black,fled,Welfare & Emergency,-93.299795,44.999625
5235,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.300021,45.007783
5236,Bodily Force,Male,White,commission of crime,Suspicious & Disorder,-93.237126,45.026766
5237,Bodily Force,Male,Black,commission of crime,Welfare & Emergency,-93.286504,45.017596
5238,Chemical Irritant,Male,Black,tensed,Suspicious & Disorder,-93.272499,44.979626
5239,Chemical Irritant,Male,White,verbal non-compliance,Suspicious & Disorder,-93.236412,44.986567
5240,Bodily Force,Male,Native American,commission of crime,Violent,-93.253141,44.948367
5241,Bodily Force,Male,Black,commission of crime,Property & Vehicle,-93.309517,45.01357
5242,Bodily Force,Male,Black,commission of crime,Violent,-93.271065,44.978339
5243,Bodily Force,Male,other,assaulting police officer or animal,Suspicious & Disorder,-93.225898,44.899818
5244,Chemical Irritant,Male,White,tensed,Suspicious & Disorder,-93.263519,44.998703
