,ForceType,Sex,Race,TypeOfResistance,Problem_Group,CenterLongitude,CenterLatitude
78,Bodily Force,Male,White,verbal non-compliance,Violent,-93.271883,44.980065
79,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.276431,44.976808
80,Bodily Force,Male,White,fled,Property & Vehicle,-93.288675,44.955542
81,Bodily Force,Male,Black,other/unspecified,Welfare & Emergency,-93.271699,45.008036
82,Bodily Force,Male,other,fled,Property & Vehicle,-93.29104,44.98883
83,Bodily Force,Male,Black,verbal non-compliance,Suspicious & Disorder,-93.269582,44.962688
84,Bodily Force,Male,Black,tensed,Violent,-93.249324,44.948369
85,Chemical Irritant,Male,White,other/unspecified,Violent,-93.272499,44.979626
86,Less Lethal Weapons,Male,Black,commission of crime,Suspicious & Disorder,-93.266112,44.974295
87,Bodily Force,Female,Black,commission of crime,Suspicious & Disorder,-93.309598,44.980447
88,Chemical Irritant,Male,White,commission of crime,Domestic,-93.293832,44.948361
89,Bodily Force,Male,other,tensed,Property & Vehicle,-93.253396,44.988867
90,Bodily Force,Male,Black,commission of crime,Violent,-93.280839,44.96706
91,Chemical Irritant,Male,Black,verbal non-compliance,Property & Vehicle,-93.233901,44.953633
92,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.31462,44.996087
93,Bodily Force,Male,other,fled,Property & Vehicle,-93.307014,45.021359
94,Bodily Force,Male,Black,fled,Property & Vehicle,-93.293351,44.999153
95,Bodily Force,Male,Black,fled,Property & Vehicle,-93.293351,44.999153
96,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.299256,44.980557
97,Bodily Force,Male,White,fled,Property & Vehicle,-93.265782,44.943185
98,Bodily Force,Male,Black,verbal non-compliance,Violent,-93.288659,44.959124
99,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.273109,44.979187
100,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.282185,44.948355
101,Bodily Force,Male,White,tensed,Property & Vehicle,-93.259053,44.977185
102,Bodily Force,Male,other,tensed,Property & Vehicle,-93.253396,44.988867
103,Bodily Force,Male,Black,fled,Property & Vehicle,-93.288002,45.010125
104,Bodily Force,Male,White,other/unspecified,Suspicious & Disorder,-93.296905,44.925909
105,Less Lethal Weapons,Male,Black,fled,Violent,-93.267033,44.9609
106,Bodily Force,Male,Black,tensed,Suspicious & Disorder,-93.281566,44.995809
107,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.277322,44.979153
108,Chemical Irritant,Male,White,verbal non-compliance,Violent,-93.306312,44.979777
109,Bodily Force,Male,Black,commission of crime,Suspicious & Disorder,-93.266112,44.974295
110,Bodily Force,Male,Black,tensed,Domestic,-93.290726,45.013029
111,Bodily Force,Female,other,commission of crime,Suspicious & Disorder,-93.295639,45.000883
112,Bodily Force,Male,Black,fled,Domestic,-93.299503,44.953025
113,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.271289,44.975836
114,Bodily Force,Male,Black,verbal non-compliance,Property & Vehicle,-93.271289,44.975836
115,Bodily Force,Male,White,tensed,Welfare & Emergency,-93.273109,44.979187
116,Less Lethal Weapons,Male,Black,fled,Suspicious & Disorder,-93.225106,44.898115
117,Bodily Force,Male,White,tensed,Suspicious & Disorder,-93.288877,44.965874
118,Less Lethal Weapons,Male,White,verbal non-compliance,Welfare & Emergency,-93.310208,45.022277
119,Bodily Force,Male,Native American,tensed,Domestic,-93.283381,45.005359
120,Chemical Irritant,Male,White,fled,Suspicious & Disorder,-93.230707,45.020074
121,Bodily Force,Male,other,tensed,Property & Vehicle,-93.253396,44.988867
122,Less Lethal Weapons,Male,Black,tensed,Violent,-93.267638,44.940478
123,Bodily Force,Male,Black,fled,Suspicious & Disorder,-93.2802,44.999677
124,Bodily Force,Male,Black,fled,Property & Vehicle,-93.277025,44.978019
125,Bodily Force,Male,White,verbal non-compliance,Suspicious & Disorder,-93.297004,44.948812
126,Bodily Force,Male,Black,tensed,Domestic,-93.253096,44.953739
127,Bodily Force,Male,White,commission of crime,Welfare & Emergency,-93.277198,44.959194
