,ForceType,Sex,Race,TypeOfResistance
538,Chemical Irritant,Male,Black,commission of crime
539,Bodily Force,Male,Black,fled
540,Bodily Force,Male,Black,commission of crime
541,Bodily Force,Male,Black,fled
542,Bodily Force,Male,other,commission of crime
543,Less Lethal Weapons,Male,White,commission of crime
544,Bodily Force,Male,Black,verbal non-compliance
545,Bodily Force,Male,Black,fled
546,Bodily Force,Male,White,verbal non-compliance
547,Bodily Force,Male,Black,tensed
548,Less Lethal Weapons,Male,White,commission of crime
549,Less Lethal Weapons,Male,Black,other/unspecified
550,Bodily Force,Male,other,fled
551,Bodily Force,Male,Black,tensed
552,Bodily Force,Male,Black,commission of crime
553,Bodily Force,Male,Black,verbal non-compliance
554,Chemical Irritant,Female,White,tensed
555,Bodily Force,Male,Black,tensed
556,Bodily Force,Male,White,tensed
557,Less Lethal Weapons,Male,Black,assaulting police officer or animal
558,Less Lethal Weapons,Male,Black,commission of crime
559,Chemical Irritant,Male,other,other/unspecified
560,Bodily Force,Male,Black,verbal non-compliance
561,Less Lethal Weapons,Male,White,assaulting police officer or animal
562,Bodily Force,Male,White,fled
563,Bodily Force,Male,Black,verbal non-compliance
564,Bodily Force,Female,Black,tensed
565,Chemical Irritant,Male,White,assaulting police officer or animal
566,Chemical Irritant,Male,Black,other/unspecified
567,Chemical Irritant,Unknown,other,verbal non-compliance
568,Bodily Force,Male,White,verbal non-compliance
569,Bodily Force,Male,Black,tensed
570,Bodily Force,Male,Black,fled
571,Bodily Force,Male,White,tensed
572,Bodily Force,Male,White,fled
573,Less Lethal Weapons,Male,Black,commission of crime
574,Bodily Force,Male,Black,other/unspecified
575,Bodily Force,Male,Black,fled
576,Bodily Force,Female,Black,fled
577,Bodily Force,Male,Black,tensed
578,Bodily Force,Male,Black,fled
579,Bodily Force,Male,Black,fled
580,Bodily Force,Male,Black,fled
581,Bodily Force,Male,Black,fled
582,Bodily Force,Male,Black,fled
583,Less Lethal Weapons,Male,Black,tensed
584,Bodily Force,Male,White,tensed
